source,content,time,author,title
Twitter for iPhone,“They were all in on it clear Hillary Clinton and FRAME Donald Trump for things he didn’t do.” Gregg Jarrett on @foxandfriends  If we had a real Attorney General this Witch Hunt would never have been started! Looking at the wrong people.,8/14/18 12:06,D_Trump69,D_Trump2018_8_14_12_6
Twitter for iPhone,Bruce Ohr of the “Justice” Department (can you believe he is still there) is accused of helping disgraced Christopher Steele “find dirt on Trump.” Ohr’s wife Nelly was in on the act big time - worked for Fusion GPS on Fake Dossier. @foxandfriends,8/14/18 11:55,D_Trump70,D_Trump2018_8_14_11_55
Twitter for iPhone,Another terrorist attack in London...These animals are crazy and must be dealt with through toughness and strength!,8/14/18 11:42,D_Trump71,D_Trump2018_8_14_11_42
Twitter for iPhone,When you give a crazed crying lowlife a break and give her a job at the White House I guess it just didn’t work out. Good work by General Kelly for quickly firing that dog!,8/14/18 11:31,D_Trump72,D_Trump2018_8_14_11_31
Twitter for iPhone,Lou Dobbs: “This cannot go forward...this Special Councel with all of his conflicts with his 17 Angry Democrats without any evidence of collusion by the Trump Campaign and Russia. The Dems are the ones who should be investigated.” Thank you Lou so true!,8/14/18 11:21,D_Trump73,D_Trump2018_8_14_11_21
Twitter for iPhone,....should be shut down. The Strzok firing shows that the fundamental underpinnings of the investigation were corrupt. It should be shut down by the courts or by honest prosecutors.” Thank you Judicial Watch I couldn’t have said it better myself!,8/14/18 11:13,D_Trump74,D_Trump2018_8_14_11_13
Twitter for iPhone,....guy was corrupt and had anti-Trump animus. Strzok and others at the FBI should be criminally investigated for the way the conducted this investigation. Instead Mueller is pretending nothing went wrong. He used Strzok he used the Clinton DNC Dossier...the whole thing....,8/14/18 11:07,D_Trump75,D_Trump2018_8_14_11_7
Twitter for iPhone,Tom Fitton of Judicial Watch: “The Strzok firing is as much about the Mueller operation as anything else. There would be no Mueller Special Councel to investigate so called collusion but for the machinations of Strzok &amp; his colleagues at the top levels of the FBI. We know this...,8/14/18 10:59,D_Trump76,D_Trump2018_8_14_10_59
Twitter for iPhone,....such wonderful and powerful things about me - a true Champion of Civil Rights - until she got fired. Omarosa had Zero credibility with the Media (they didn’t want interviews) when she worked in the White House. Now that she says bad about me they will talk to her. Fake News!,8/14/18 1:57,D_Trump77,D_Trump2018_8_14_1_57
Twitter for iPhone,.@MarkBurnettTV called to say that there are NO TAPES of the Apprentice where I used such a terrible and disgusting word as attributed by Wacky and Deranged Omarosa. I don’t have that word in my vocabulary and never have. She made it up. Look at her MANY recent quotes saying....,8/14/18 1:50,D_Trump78,D_Trump2018_8_14_1_50
Twitter for iPhone,https://t.co/Gm9KE8cHpS,8/14/18 1:37,D_Trump79,D_Trump2018_8_14_1_37
Twitter for iPhone,Scott Walker of Wisconsin is a tremendous Governor who has done incredible things for that Great State. He has my complete &amp; total Endorsement! He brought the amazing Foxconn to Wisconsin with its 15000 Jobs-and so much more. Vote for Scott on Tuesday in the Republican Primary!,8/14/18 1:37,D_Trump80,D_Trump2018_8_14_1_37
Twitter for iPhone,“Trump’s foreign policy is actually boosting America’s standing” https://t.co/oC7Xs38uRo,8/14/18 0:11,D_Trump81,D_Trump2018_8_14_0_11
Twitter for iPhone,It was my great honor to sign our new Defense Bill into law and to pay tribute to the greatest soldiers in the history of the world: THE U.S. ARMY. The National Defense Authorization Act is the most significant investment in our Military and our warfighters in modern history! https://t.co/M6VI1c0Sgx,8/13/18 22:36,D_Trump82,D_Trump2018_8_13_22_36
Twitter for iPhone,Pete Stauber is running for Congress in Minnesota. He will make for a great Congressman. Pete is strong on crime and borders loves our Military Vets and Second Amendment. Vote for Pete tomorrow. He has my full and total Endorsement!,8/13/18 20:42,D_Trump83,D_Trump2018_8_13_20_42
Twitter for iPhone,Great to be in Fort Drum New York with our HEROES! https://t.co/Ke54QGZbU7,8/13/18 19:37,D_Trump84,D_Trump2018_8_13_19_37
Twitter for iPhone,Just landed at Fort Drum New York. Looking forward to making a speech about our GREAT HEROES!,8/13/18 18:19,D_Trump85,D_Trump2018_8_13_18_19
Twitter for iPad,RT @FrankLuntz: I’m in @Omarosa’s book on page 149. She claims to have heard from someone who heard from me that I heard Trump use the N-wo…,8/13/18 17:14,D_Trump86,D_Trump2018_8_13_17_14
Twitter for iPad,RT @MichaelCohen212: LTo the many dozens of #journalists who called me questioning @OMAROSA claim in her new book that @POTUS @realDonaldT…,8/13/18 17:14,D_Trump87,D_Trump2018_8_13_17_14
Twitter for iPad,Brooks Koepka just won his third Golf Major and he did it not only with his powerful game but with his powerful mind. He has been a man of steel on the Tour and will have many Victories including Majors ahead of him. Congrats to Brooks and his great team on a job well done!,8/13/18 17:11,D_Trump88,D_Trump2018_8_13_17_11
Twitter for iPhone,Wacky Omarosa already has a fully signed Non-Disclosure Agreement!,8/13/18 16:13,D_Trump89,D_Trump2018_8_13_16_13
Twitter for iPhone,Just fired Agent Strzok formerly of the FBI was in charge of the Crooked Hillary Clinton sham investigation. It was a total fraud on the American public and should be properly redone!,8/13/18 16:09,D_Trump90,D_Trump2018_8_13_16_9
Twitter for iPhone,Agent Peter Strzok was just fired from the FBI - finally. The list of bad players in the FBI &amp; DOJ gets longer &amp; longer. Based on the fact that Strzok was in charge of the Witch Hunt will it be dropped? It is a total Hoax. No Collusion No Obstruction - I just fight back!,8/13/18 16:04,D_Trump91,D_Trump2018_8_13_16_4
Twitter for iPhone,The very unpopular Governor of Ohio (and failed presidential candidate) @JohnKasich hurt Troy Balderson’s recent win by tamping down enthusiasm for an otherwise great candidate. Even Kasich’s Lt. Governor lost Gov. race because of his unpopularity. Credit to Troy on the BIG WIN!,8/13/18 15:12,D_Trump92,D_Trump2018_8_13_15_12
Twitter for iPhone,While I know it’s “not presidential” to take on a lowlife like Omarosa and while I would rather not be doing so this is a modern day form of communication and I know the Fake News Media will be working overtime to make even Wacky Omarosa look legitimate as possible. Sorry!,8/13/18 14:21,D_Trump93,D_Trump2018_8_13_14_21
Twitter for iPhone,...really bad things. Nasty to people &amp; would constantly miss meetings &amp; work. When Gen. Kelly came on board he told me she was a loser &amp; nothing but problems. I told him to try working it out if possible because she only said GREAT things about me - until she got fired!,8/13/18 13:50,D_Trump94,D_Trump2018_8_13_13_50
Twitter for iPhone,Wacky Omarosa who got fired 3 times on the Apprentice now got fired for the last time. She never made it never will. She begged me for a job tears in her eyes I said Ok. People in the White House hated her. She was vicious but not smart. I would rarely see her but heard....,8/13/18 13:27,D_Trump95,D_Trump2018_8_13_13_27
Twitter for iPhone,“Seems like the Department of Justice (and FBI) had a program to keep Donald Trump from becoming President”. @DarrellIssa  @foxandfriends  If this had happened to the other side everybody involved would be in jail. This is a Media coverup of the biggest story of our time.,8/12/18 13:25,D_Trump96,D_Trump2018_8_12_13_25
Twitter for iPhone,Many @harleydavidson owners plan to boycott the company if manufacturing moves overseas. Great! Most other companies are coming in our direction including Harley competitors. A really bad move! U.S. will soon have a level playing field or better.,8/12/18 12:57,D_Trump97,D_Trump2018_8_12_12_57
Twitter for iPhone,.@GovMikeHuckabee “Your paycheck is bigger your pension is stronger.” @foxandfriends  Unemployment numbers are better than they have been in 50 years &amp; perhaps ever. Our country is booming like never before - and it will get even better! Many companies moving back to the U.S.A.,8/12/18 12:34,D_Trump98,D_Trump2018_8_12_12_34
Twitter for iPhone,.@JudgeJeanine  “Bob Mueller isn’t your whole investigation premised on a Fake Dossier paid for by Hillary created by a man who hates Donald Trump &amp; used to con a FISA Court Judge. Bob I really think it’s time for you to give up your phony investigation.” No Collusion!,8/12/18 12:24,D_Trump99,D_Trump2018_8_12_12_24
Twitter for iPhone,Bikers for Trump at Bedminster earlier today. Thank you! https://t.co/GWN56gYGT3,8/12/18 1:51,D_Trump100,D_Trump2018_8_12_1_51
